2025-07-25 08:42:54 | INFO     | TestSecurity | _log_with_context:301 | [EnhancedLogger] Enhanced Logger initialized successfully
2025-07-25 08:43:09 | INFO     | TestSecurity | _log_with_context:301 | [EnhancedLogger] Enhanced Logger initialized successfully
2025-07-25 08:43:09 | ERROR    | TestSecurity | _log_with_context:301 | [SecurityValidator] SECURITY_EVENT: DANGEROUS_PATTERN - Dangerous pattern in domain | event_type=DANGEROUS_PATTERN | domain=../etc/passwd | pattern=\.\.[/\\]
2025-07-25 08:43:09 | ERROR    | TestSecurity | _log_with_context:301 | [SecurityValidator] SECURITY_EVENT: DANGEROUS_PATH - Dangerous pattern in path | event_type=DANGEROUS_PATH | path=../etc/passwd
2025-07-25 08:45:15 | INFO     | TestSublist3r | _log_with_context:301 | [EnhancedLogger] Enhanced Logger initialized successfully
2025-07-25 08:45:15 | INFO     | TestSublist3r | _log_with_context:301 | Testing enhanced logger functionality
2025-07-25 08:45:15 | WARNING  | TestSublist3r | _log_with_context:301 | This is a warning message
2025-07-25 08:45:15 | DEBUG    | TestSublist3r | _log_with_context:301 | Debug message with detailed info
2025-07-25 08:45:15 | ERROR    | TestSublist3r | _log_with_context:301 | [SecurityValidator] SECURITY_EVENT: DANGEROUS_PATH - Dangerous pattern in path | event_type=DANGEROUS_PATH | path=../etc/passwd
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | [EnhancedLogger] Enhanced Logger initialized successfully
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | SUCCESS: ✅ Sublist3r Enhanced - PASSED
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | SUCCESS: ✅ Owner Research Engine - PASSED (score: 0.568)
2025-07-25 09:06:13 | ERROR    | SystemTest | _log_with_context:301 | [SecurityValidator] SECURITY_EVENT: DANGEROUS_PATTERN - Dangerous pattern in domain | event_type=DANGEROUS_PATTERN | domain=../etc/passwd | pattern=\.\.[/\\]
2025-07-25 09:06:13 | ERROR    | SystemTest | _log_with_context:301 | [SecurityValidator] SECURITY_EVENT: DANGEROUS_PATH - Dangerous pattern in path | event_type=DANGEROUS_PATH | path=domain;rm -rf /
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | SUCCESS: ✅ Security Validation - PASSED
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | SUCCESS: ✅ Multi-threading - PASSED
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | SUCCESS: ✅ Export Functionality - PASSED
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | SUCCESS: 🎯 All core components are functional and ready for production use\!
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 | ✨ Features verified:
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Advanced logging with colors and timestamps
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Security validation with injection prevention
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Fuzzy matching with multiple algorithms
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Multi-threading support
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Database caching with SQLite
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Export capabilities (JSON/CSV)
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Progress bars and modern UI elements
2025-07-25 09:06:13 | INFO     | SystemTest | _log_with_context:301 |    • Session management and metrics tracking
2025-07-25 09:14:18 | INFO     | TestDebug | _log_with_context:301 | [EnhancedLogger] Enhanced Logger initialized successfully
